Distance,Value
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:49:28.505962', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:49:30.327585', 'value': 0}"
59.5,"{'Distance': 59.5, 'Time': '2022-02-06 12:49:32.171886', 'value': 0}"
31.89,"{'Distance': 31.89, 'Time': '2022-02-06 12:49:34.485819', 'value': 1}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:49:36.292045', 'value': 0}"
59.1,"{'Distance': 59.1, 'Time': '2022-02-06 12:49:38.141603', 'value': 0}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:49:39.980192', 'value': 0}"
61.69,"{'Distance': 61.69, 'Time': '2022-02-06 12:49:41.777852', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:49:43.641938', 'value': 0}"
59.52,"{'Distance': 59.52, 'Time': '2022-02-06 12:49:45.467050', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:49:47.295079', 'value': 0}"
27.85,"{'Distance': 27.85, 'Time': '2022-02-06 12:49:49.650187', 'value': 1}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:49:51.467449', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:49:53.258738', 'value': 0}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 12:49:55.121989', 'value': 0}"
60.82,"{'Distance': 60.82, 'Time': '2022-02-06 12:49:57.181281', 'value': 0}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:49:59.667811', 'value': 0}"
58.67,"{'Distance': 58.67, 'Time': '2022-02-06 12:50:01.490753', 'value': 0}"
45.53,"{'Distance': 45.53, 'Time': '2022-02-06 12:50:03.810469', 'value': 1}"
59.61,"{'Distance': 59.61, 'Time': '2022-02-06 12:50:05.647739', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:50:07.490662', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:50:09.343191', 'value': 0}"
44.3,"{'Distance': 44.3, 'Time': '2022-02-06 12:50:11.665475', 'value': 1}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:50:13.484286', 'value': 0}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:50:15.323960', 'value': 0}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:50:17.153561', 'value': 0}"
40.59,"{'Distance': 40.59, 'Time': '2022-02-06 12:50:19.490689', 'value': 1}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 12:50:21.292206', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:50:23.141518', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:50:24.962654', 'value': 0}"
38.24,"{'Distance': 38.24, 'Time': '2022-02-06 12:50:27.305938', 'value': 1}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:50:29.152997', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:50:30.968145', 'value': 0}"
59.54,"{'Distance': 59.54, 'Time': '2022-02-06 12:50:32.793748', 'value': 0}"
35.99,"{'Distance': 35.99, 'Time': '2022-02-06 12:50:35.113302', 'value': 1}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:50:36.967013', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:50:38.781303', 'value': 0}"
59.96,"{'Distance': 59.96, 'Time': '2022-02-06 12:50:40.565384', 'value': 0}"
33.81,"{'Distance': 33.81, 'Time': '2022-02-06 12:50:42.844851', 'value': 1}"
59.54,"{'Distance': 59.54, 'Time': '2022-02-06 12:50:44.650675', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:50:46.471777', 'value': 0}"
58.8,"{'Distance': 58.8, 'Time': '2022-02-06 12:50:48.301958', 'value': 0}"
31.76,"{'Distance': 31.76, 'Time': '2022-02-06 12:50:50.619484', 'value': 1}"
58.66,"{'Distance': 58.66, 'Time': '2022-02-06 12:50:52.711151', 'value': 0}"
59.1,"{'Distance': 59.1, 'Time': '2022-02-06 12:50:54.507581', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:50:56.335023', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:50:59.765289', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:51:01.557654', 'value': 0}"
58.69,"{'Distance': 58.69, 'Time': '2022-02-06 12:51:03.378478', 'value': 0}"
33.42,"{'Distance': 33.42, 'Time': '2022-02-06 12:51:05.658834', 'value': 1}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:51:07.495302', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:51:09.319755', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:51:11.149759', 'value': 0}"
29.99,"{'Distance': 29.99, 'Time': '2022-02-06 12:51:13.494325', 'value': 1}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:51:15.305241', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:51:17.147846', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:51:19.009327', 'value': 0}"
60.87,"{'Distance': 60.87, 'Time': '2022-02-06 12:51:20.846287', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:51:22.675996', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:51:24.501726', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:51:26.328095', 'value': 0}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 12:51:28.159268', 'value': 0}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 12:51:30.006257', 'value': 0}"
59.54,"{'Distance': 59.54, 'Time': '2022-02-06 12:51:31.811686', 'value': 0}"
59.64,"{'Distance': 59.64, 'Time': '2022-02-06 12:51:33.651926', 'value': 0}"
32.38,"{'Distance': 32.38, 'Time': '2022-02-06 12:51:35.941531', 'value': 1}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 12:51:37.795516', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:51:39.630353', 'value': 0}"
